disease,subtype,species,population,source,external_id,occurred_at,admin_level_1,admin_level_2,admin_level_3,latitude,longitude,cases,deaths,susceptible,distance_km,relevance_score,priority
Aethina tumida (Inf. with)(Small hive beetle)(2006-),,Bees,apiary,adis,IT-SHB-2025-xghqg,2025-12-24,Sicily,Messina,Messina,38.209307,15.521267,1.0,0.0,1.0,1173.84,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-xsyaz,2026-01-30,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis,Witten,51.41,7.35,1.0,1.0,,496.2,,
HPAI(NON-P) in Wild Birds,H5N1,Anserinae (unidentified),wild,adis,DE-HPAI(NON-P)-2026-yy25e,2026-02-02,Hessen,Hersfeld-Rotenburg,Heringen (Werra),50.91,10.01,1.0,1.0,,478.61,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,IS-HPAI(NON-P)-2026-xvb7r,2026-02-16,Höfuðborgarsvæði,Reykjavík,,64.139686,-21.96424,1.0,1.0,,2614.94,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,IS-HPAI(NON-P)-2026-65set,2026-02-24,Höfuðborgarsvæði,Reykjavík,,64.155561,-21.96285,1.0,1.0,,2615.84,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-z3q5j,2026-03-04,Nordrhein-Westfalen,Unna,Lünen,51.61,7.5,1.0,1.0,,518.41,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,PL-HPAI(NON-P)-2026-zd5x7,2026-03-05,Lubelskie,Puławy,Janowiec,51.314416,21.886018,1.0,1.0,,1154.7,,
HPAI(NON-P) in Wild Birds,H5N1,Accipitridae (incognita),wild,adis,DE-HPAI(NON-P)-2026-k4u2t,2026-03-13,Niedersachsen,Oldenburg,Wildeshausen,52.89,8.45,1.0,1.0,,664.59,,
HPAI(NON-P) in Wild Birds,H5N1,Buteo buteo,wild,adis,PL-HPAI(NON-P)-2026-0ryu7,2026-03-18,Lubelskie,Ryki,Ryki,51.673399,21.970018,1.0,1.0,,1173.84,,
HPAI(NON-P) in Wild Birds,H5N5,Rissa tridactyla,wild,adis,IS-HPAI(NON-P)-2026-skfbw,2026-03-19,Suðurnes,Reykjanesbær,,64.025618,-22.562813,,1.0,,2632.75,,
HPAI(NON-P) in Wild Birds,H5N5,Corvus corax,wild,adis,IS-HPAI(NON-P)-2026-ywsx0,2026-03-19,Suðurnes,Reykjanesbær,,64.008703,-22.565944,,1.0,,2631.89,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-1gtxn,2026-03-20,Corse-du-Sud,,,,,1.0,,125.0,,,
